ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0060830956,Brave New World,Aldous Huxley,1984,HarperCollins Publishers,http://images.amazon.com/images/P/0060830956.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060830956.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060830956.01.LZZZZZZZ.jpg
0099201410,Breathing Lessons,Anne Tyler,0,Trafalgar Square,http://images.amazon.com/images/P/0099201410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0099201410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0099201410.01.LZZZZZZZ.jpg
0140278826,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books Ltd,http://images.amazon.com/images/P/0140278826.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140278826.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140278826.01.LZZZZZZZ.jpg
0316285269,White Oleander : A Novel,Janet Fitch,1999,Little Brown &amp; Co,http://images.amazon.com/images/P/0316285269.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316285269.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316285269.01.LZZZZZZZ.jpg
0340493593,The Wedding,Yann Queffelec,1989,Hodder &amp; Stoughton General Division,http://images.amazon.com/images/P/0340493593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340493593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340493593.01.LZZZZZZZ.jpg
0345329767,Remember Me,Fay Weldon,1985,Ballantine Books,http://images.amazon.com/images/P/0345329767.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345329767.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345329767.01.LZZZZZZZ.jpg
0345444884,The Talisman,STEPHEN KING,2001,Ballantine Books,http://images.amazon.com/images/P/0345444884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345444884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345444884.01.LZZZZZZZ.jpg
0374237131,Presumed Innocent,Scott Turow,1987,Farrar Straus Giroux,http://images.amazon.com/images/P/0374237131.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374237131.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374237131.01.LZZZZZZZ.jpg
0375421440,Three Junes,Julia Glass,2002,Pantheon Books,http://images.amazon.com/images/P/0375421440.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375421440.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375421440.01.LZZZZZZZ.jpg
0375507779,The Talisman,Stephen King,2001,Random House Trade,http://images.amazon.com/images/P/0375507779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375507779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375507779.01.LZZZZZZZ.jpg
038000917X,Rebecca,Daphne du Maurier,1982,Avon Books,http://images.amazon.com/images/P/038000917X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038000917X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038000917X.01.LZZZZZZZ.jpg
0385043805,Rebecca,Daphne du Maurier,1948,Doubleday Books,http://images.amazon.com/images/P/0385043805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385043805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385043805.01.LZZZZZZZ.jpg
0385260083,The Robber Bride,Margaret Atwood,1993,Doubleday Books,http://images.amazon.com/images/P/0385260083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385260083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385260083.01.LZZZZZZZ.jpg
0385297548,Blessings,Belva Plain,1989,Delacorte Press,http://images.amazon.com/images/P/0385297548.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385297548.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385297548.01.LZZZZZZZ.jpg
038531292X,The Gift,Danielle Steel,1994,Delacorte Press,http://images.amazon.com/images/P/038531292X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038531292X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038531292X.01.LZZZZZZZ.jpg
0385315309,Five Days in Paris,DANIELLE STEEL,1995,Delacorte Press,http://images.amazon.com/images/P/0385315309.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385315309.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385315309.01.LZZZZZZZ.jpg
0385335555,Tell No One,HARLAN COBEN,2001,Delacorte Press,http://images.amazon.com/images/P/0385335555.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335555.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335555.01.LZZZZZZZ.jpg
0394490185,Journey,Robert K. Massie,1975,Knopf : distributed by Random House,http://images.amazon.com/images/P/0394490185.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394490185.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394490185.01.LZZZZZZZ.jpg
0394535979,Beloved,TONI MORRISON,1987,Knopf,http://images.amazon.com/images/P/0394535979.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394535979.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394535979.01.LZZZZZZZ.jpg
0394539079,The House of the Spirits,Isabel Allende,1985,Alfred A. Knopf,http://images.amazon.com/images/P/0394539079.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394539079.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394539079.01.LZZZZZZZ.jpg
0394572343,Breathing Lessons,Anne Tyler,1988,Random House Inc,http://images.amazon.com/images/P/0394572343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394572343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394572343.01.LZZZZZZZ.jpg
0395272211,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,1988,Houghton Mifflin,http://images.amazon.com/images/P/0395272211.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395272211.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395272211.01.LZZZZZZZ.jpg
039527222X,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1988,Houghton Mifflin,http://images.amazon.com/images/P/039527222X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039527222X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039527222X.01.LZZZZZZZ.jpg
0395353009,The Prince of Tides,Pat Conroy,1986,Houghton Mifflin Company,http://images.amazon.com/images/P/0395353009.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395353009.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395353009.01.LZZZZZZZ.jpg
0399131434,Strangers,Dean R. Koontz,1986,Putnam Pub Group,http://images.amazon.com/images/P/0399131434.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399131434.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399131434.01.LZZZZZZZ.jpg
0399133194,Lightning,Dean R. Koontz,1988,Putnam Pub Group,http://images.amazon.com/images/P/0399133194.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399133194.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399133194.01.LZZZZZZZ.jpg
0399140557,Practical Magic,Alice Hoffman,1995,Putnam Pub Group,http://images.amazon.com/images/P/0399140557.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399140557.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399140557.01.LZZZZZZZ.jpg
0399148027,Blue Diary,Alice Hoffman,2001,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399148027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148027.01.LZZZZZZZ.jpg
0399900705,The Bourne Identity,Robert Ludlum,1980,Putnam Pub Group,http://images.amazon.com/images/P/0399900705.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399900705.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399900705.01.LZZZZZZZ.jpg
0425152499,Practical Magic,Alice Hoffman,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425152499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425152499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425152499.01.LZZZZZZZ.jpg
0440194903,When the Wind Blows,John Saul,1990,Dell,http://images.amazon.com/images/P/0440194903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440194903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440194903.01.LZZZZZZZ.jpg
0440225272,Homecoming,Belva Plain,1998,Dell Publishing Company,http://images.amazon.com/images/P/0440225272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225272.01.LZZZZZZZ.jpg
0440236851,The Wedding,Danielle Steel,2001,Dell Publishing Company,http://images.amazon.com/images/P/0440236851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236851.01.LZZZZZZZ.jpg
0440238137,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2003,Laurel Leaf,http://images.amazon.com/images/P/0440238137.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440238137.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440238137.01.LZZZZZZZ.jpg
0440295424,The Rainmaker,John Grisham,1996,Doubleday Books,http://images.amazon.com/images/P/0440295424.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440295424.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440295424.01.LZZZZZZZ.jpg
0440977096,The Secret Garden,Frances Hodgson Burnett,1989,Laure Leaf,http://images.amazon.com/images/P/0440977096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440977096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440977096.01.LZZZZZZZ.jpg
0446359173,Daddy,Loup Durand,1990,Warner Books,http://images.amazon.com/images/P/0446359173.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446359173.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446359173.01.LZZZZZZZ.jpg
0446516325,Fat Tuesday,Sandra Brown,1997,Warner Books Inc,http://images.amazon.com/images/P/0446516325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446516325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446516325.01.LZZZZZZZ.jpg
0446527033,The Switch,Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446527033.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527033.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527033.01.LZZZZZZZ.jpg
0446676071,Message in a Bottle,Nicholas Sparks,1999,Warner Books,http://images.amazon.com/images/P/0446676071.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446676071.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446676071.01.LZZZZZZZ.jpg
0446676098,The Notebook,Nicholas Sparks,1999,Warner Books,http://images.amazon.com/images/P/0446676098.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446676098.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446676098.01.LZZZZZZZ.jpg
0446679100,The General's Daughter,Nelson DeMille,2002,Warner Books,http://images.amazon.com/images/P/0446679100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446679100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446679100.01.LZZZZZZZ.jpg
0449911012,The Genesis Code,John Case,1997,Ballantine Books,http://images.amazon.com/images/P/0449911012.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449911012.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449911012.01.LZZZZZZZ.jpg
0451145070,Cujo,Stephen King,1986,New Amer Library,http://images.amazon.com/images/P/0451145070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451145070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451145070.01.LZZZZZZZ.jpg
0451150694,Christine,Stephen King,1983,Signet Book,http://images.amazon.com/images/P/0451150694.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451150694.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451150694.01.LZZZZZZZ.jpg
0451157753,Pet Sematary,Stephen King,1984,Signet Book,http://images.amazon.com/images/P/0451157753.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451157753.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451157753.01.LZZZZZZZ.jpg
0451160444,Christine,Stephen King,2004,Signet Book,http://images.amazon.com/images/P/0451160444.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451160444.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451160444.01.LZZZZZZZ.jpg
0451190750,Thinner,Stephen King,1996,Signet Book,http://images.amazon.com/images/P/0451190750.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451190750.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451190750.01.LZZZZZZZ.jpg
0451197747,The Deep End of the Ocean,Jacquelyn Mitchard,1999,Signet Book,http://images.amazon.com/images/P/0451197747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451197747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451197747.01.LZZZZZZZ.jpg
051511992X,That Camden Summer,Lavyrle Spencer,1997,Jove Books,http://images.amazon.com/images/P/051511992X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051511992X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051511992X.01.LZZZZZZZ.jpg
0517008254,Cradle and All,Fay Nedra Zachary,1989,Not Avail,http://images.amazon.com/images/P/0517008254.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517008254.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517008254.01.LZZZZZZZ.jpg
0552149675,Back Roads,Tawni O'dell,2001,Transworld Publishers Ltd,http://images.amazon.com/images/P/0552149675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552149675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552149675.01.LZZZZZZZ.jpg
0552998931,Chocolat,Joanne Harris,2001,Black Swan,http://images.amazon.com/images/P/0552998931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998931.01.LZZZZZZZ.jpg
0553210181,Pride and Prejudice,Jane Austen,1981,Bantam Books,http://images.amazon.com/images/P/0553210181.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553210181.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553210181.01.LZZZZZZZ.jpg
0553212583,Wuthering Heights,EMILY BRONTE,1983,Bantam,http://images.amazon.com/images/P/0553212583.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553212583.01.LZZZZZZZ.jpg
055347331X,Voyager,DIANA GABALDON,1994,Random House Audio,http://images.amazon.com/images/P/055347331X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055347331X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055347331X.01.LZZZZZZZ.jpg
0553802380,The Next Accident,LISA GARDNER,2001,Bantam,http://images.amazon.com/images/P/0553802380.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553802380.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553802380.01.LZZZZZZZ.jpg
0586064540,The Bourne Supremacy,Robert Ludlum,0,Hunter Publishing+inc,http://images.amazon.com/images/P/0586064540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0586064540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0586064540.01.LZZZZZZZ.jpg
0618346252,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,2003,Houghton Mifflin Company,http://images.amazon.com/images/P/0618346252.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618346252.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618346252.01.LZZZZZZZ.jpg
0671000853,Night Whispers,Judith McNaught,1998,Atria,http://images.amazon.com/images/P/0671000853.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671000853.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671000853.01.LZZZZZZZ.jpg
0671014218,The Mulberry Tree,Jude Deveraux,2002,Atria Books,http://images.amazon.com/images/P/0671014218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671014218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671014218.01.LZZZZZZZ.jpg
0671019074,The Color Purple,Alice Walker,1998,Washington Square Press,http://images.amazon.com/images/P/0671019074.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671019074.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671019074.01.LZZZZZZZ.jpg
0671032992,Heartbreaker,Julie Garwood,2000,Atria,http://images.amazon.com/images/P/0671032992.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671032992.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671032992.01.LZZZZZZZ.jpg
0671776800,Paradise,Judith McNaught,1992,Pocket,http://images.amazon.com/images/P/0671776800.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671776800.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671776800.01.LZZZZZZZ.jpg
0679400702,How to Make an American Quilt,Whitney Otto,1991,Random House Inc,http://images.amazon.com/images/P/0679400702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679400702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679400702.01.LZZZZZZZ.jpg
0679403612,Saint Maybe,Anne Tyler,1991,Random House Inc,http://images.amazon.com/images/P/0679403612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679403612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679403612.01.LZZZZZZZ.jpg
0679435328,The Angel of Darkness,Caleb Carr,1997,Random House Inc,http://images.amazon.com/images/P/0679435328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679435328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679435328.01.LZZZZZZZ.jpg
0684843137,ANGELA'S ASHES,Frank McCourt,1997,Scribner,http://images.amazon.com/images/P/0684843137.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684843137.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684843137.01.LZZZZZZZ.jpg
0684871270,The Blue Nowhere : A Novel,Jeffery Deaver,2001,Simon &amp; Schuster,http://images.amazon.com/images/P/0684871270.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684871270.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684871270.01.LZZZZZZZ.jpg
0684872382,Pay It Forward,Catherine Ryan Hyde,2000,Simon &amp; Schuster Audio,http://images.amazon.com/images/P/0684872382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684872382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684872382.01.LZZZZZZZ.jpg
068803036X,The Cider House Rules,John Irving,1985,Harpercollins Childrens Books,http://images.amazon.com/images/P/068803036X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068803036X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068803036X.01.LZZZZZZZ.jpg
0694525596,Empire Falls,Richard Russo,2001,HarperAudio,http://images.amazon.com/images/P/0694525596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0694525596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0694525596.01.LZZZZZZZ.jpg
0743477154,Postmortem,Patricia Cornwell,2003,Pocket,http://images.amazon.com/images/P/0743477154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743477154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743477154.01.LZZZZZZZ.jpg
0749399570,The Joy Luck Club,Amy Tan,1991,Vintage,http://images.amazon.com/images/P/0749399570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749399570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749399570.01.LZZZZZZZ.jpg
0786002832,Dangerous,Fabio,1996,Pinnacle Books,http://images.amazon.com/images/P/0786002832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786002832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786002832.01.LZZZZZZZ.jpg
0786222743,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2000,Thorndike Press,http://images.amazon.com/images/P/0786222743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786222743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786222743.01.LZZZZZZZ.jpg
0804113475,Ladder of Years,Anne Tyler,1997,Ivy Books,http://images.amazon.com/images/P/0804113475.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804113475.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804113475.01.LZZZZZZZ.jpg
0804119708,Over the Edge,Suzanne Brockmann,2001,Ivy Books,http://images.amazon.com/images/P/0804119708.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804119708.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804119708.01.LZZZZZZZ.jpg
0807071390,Sole Survivor,Ruthanne Lum McCunn,1999,Beacon Press,http://images.amazon.com/images/P/0807071390.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807071390.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807071390.01.LZZZZZZZ.jpg
0867601817,Sanctuary,Lorraine Murphy,0,Albatross Books Pty Ltd,http://images.amazon.com/images/P/0867601817.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0867601817.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0867601817.01.LZZZZZZZ.jpg
0871883937,Red Storm Rising,Sound Editions,1986,Random House Audio,http://images.amazon.com/images/P/0871883937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0871883937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0871883937.01.LZZZZZZZ.jpg
0879236493,The Secret Garden,Frances Hodgson Burnett,1987,David R. Godine Publisher,http://images.amazon.com/images/P/0879236493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0879236493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0879236493.01.LZZZZZZZ.jpg
0886461278,Thinner,Stephen King,1985,DH Audio,http://images.amazon.com/images/P/0886461278.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0886461278.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0886461278.01.LZZZZZZZ.jpg
0899668585,To Kill a Mockingbird,Harper Lee,1991,Buccaneer Books Inc,http://images.amazon.com/images/P/0899668585.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0899668585.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0899668585.01.LZZZZZZZ.jpg
1551665352,Remember Me,Sharon Sala,1999,Mira,http://images.amazon.com/images/P/1551665352.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551665352.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551665352.01.LZZZZZZZ.jpg
1566193087,Wuthering Heights,Emily Bronte,1994,Dorset Press,http://images.amazon.com/images/P/1566193087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1566193087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1566193087.01.LZZZZZZZ.jpg
1568657587,N Is for Noose,Sue Grafton,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/1568657587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1568657587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1568657587.01.LZZZZZZZ.jpg
1570428581,Cradle and All,James Patterson,2000,Time Warner Audio Major,http://images.amazon.com/images/P/1570428581.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1570428581.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1570428581.01.LZZZZZZZ.jpg
1573220221,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1996,Riverhead Books,http://images.amazon.com/images/P/1573220221.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573220221.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573220221.01.LZZZZZZZ.jpg
184195425X,Life of Pi,Yann Martel,2004,Pub Group West,http://images.amazon.com/images/P/184195425X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/184195425X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/184195425X.01.LZZZZZZZ.jpg
0439228913,Wuthering Heights,Emily Bronte,2003,Scholastic Paperbacks,http://images.amazon.com/images/P/0439228913.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439228913.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439228913.01.LZZZZZZZ.jpg
0001047973,Brave New World,Aldous Huxley,1999,Trafalgar Square Publishing,http://images.amazon.com/images/P/0001047973.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0001047973.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0001047973.01.LZZZZZZZ.jpg
0440224845,Bittersweet,DANIELLE STEEL,2000,Dell,http://images.amazon.com/images/P/0440224845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.LZZZZZZZ.jpg
0893756113,Pride and Prejudice,Jane Austen,1997,Troll Communications,http://images.amazon.com/images/P/0893756113.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0893756113.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0893756113.01.LZZZZZZZ.jpg
0440295521,The Runaway Jury,John Grisham,1996,Dell Publishing Company,http://images.amazon.com/images/P/0440295521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440295521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440295521.01.LZZZZZZZ.jpg
0399131493,Red Storm Rising,Tom Clancy,1986,Putnam Publishing Group,http://images.amazon.com/images/P/0399131493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399131493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399131493.01.LZZZZZZZ.jpg
0870212850,The Hunt for Red October,Tom Clancy,1984,Naval Institute Press,http://images.amazon.com/images/P/0870212850.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0870212850.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0870212850.01.LZZZZZZZ.jpg
0451523652,Pride and Prejudice,Jane Austen,1988,New Amer Library Classics,http://images.amazon.com/images/P/0451523652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451523652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451523652.01.LZZZZZZZ.jpg
0440800544,A Wrinkle in Time,Madeleine L'Engle,1988,Dell Publishing,http://images.amazon.com/images/P/0440800544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440800544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440800544.01.LZZZZZZZ.jpg
0517542099,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1989,Harmony,http://images.amazon.com/images/P/0517542099.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517542099.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517542099.01.LZZZZZZZ.jpg
0807204684,Where the Red Fern Grows,Wilson Rawls,2001,Listening Library,http://images.amazon.com/images/P/0807204684.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807204684.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807204684.01.LZZZZZZZ.jpg
